,query_article_link,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
23,/abs/2005.00038,/abs/2204.04581,/abs/2110.15439,/abs/2311.09383,/abs/2112.07381,/abs/2211.07886,/abs/2310.05149,/abs/2211.14876,/abs/2309.04389,/abs/2210.10584,/abs/2203.00964
24,/abs/2005.00042,/abs/1911.12224,/abs/2303.06073,/abs/2303.08318,/abs/2306.07941,/abs/2010.09116,/abs/2307.01420,/abs/1601.06440,/abs/2201.01459,/abs/2012.02957,/abs/2107.02282
25,/abs/2005.00043,/abs/2004.03178,/abs/2103.04226,/abs/1701.04525,/abs/2006.03930,/abs/1701.01676,/abs/2112.14821,/abs/2103.04226,/abs/2305.05108,/abs/2001.05734,/abs/2011.14469
26,/abs/2005.00044,/abs/2106.03840,/abs/2212.13557,/abs/2109.13142,/abs/1812.07527,/abs/2210.17086,/abs/2008.02352,/abs/1811.10000,/abs/2201.04409,/abs/2104.12425,/abs/2209.09459
27,/abs/2005.00048,/abs/1602.06291,/abs/2309.11142,/abs/1906.09324,/abs/2006.09213,/abs/1904.12674,/abs/1905.01984,/abs/2201.05273,/abs/2309.06814,/abs/1809.00582,/abs/2012.01295
28,/abs/2005.00050,/abs/2209.00154,/abs/2011.03258,/abs/2011.07247,/abs/2103.07259,/abs/2204.05717,/abs/2106.03111,/abs/2310.10400,/abs/2104.03776,/abs/2304.01666,/abs/2305.08654
29,/abs/2005.00051,/abs/2212.07287,/abs/2111.14452,/abs/2212.10402,/abs/2212.10402,/abs/2010.15461,/abs/2212.09303,/abs/2310.01729,/abs/2205.10077,/abs/1812.02936,/abs/2311.07106
30,/abs/2212.00002,/abs/2305.07965,/abs/2304.07498,/abs/2310.15461,/abs/2105.10731,/abs/1905.00288,/abs/2102.04211,/abs/2311.14693,/abs/2202.03033,/abs/2108.03929,/abs/2307.15846
31,/abs/2212.00003,/abs/1611.09766,/abs/1611.04425,/abs/2303.06110,/abs/1804.06682,/abs/cond-mat/0609077,/abs/2201.02921,/abs/1810.04056,/abs/2105.04962,/abs/1509.08306,/abs/2212.05206
32,/abs/2212.00004,/abs/1904.10351,/abs/2303.13536,/abs/1611.09480,/abs/2308.00801,/abs/2303.14792,/abs/2303.14792,/abs/1512.01058,/abs/1907.06286,/abs/1907.06286,/abs/1904.13037
33,/abs/2212.00006,/abs/2102.01264,/abs/1511.01844,/abs/2305.14879,/abs/2311.01270,/abs/2305.17008,/abs/2311.00801,/abs/2305.12757,/abs/2310.06800,/abs/2208.03274,/abs/2107.03374.abs
34,/abs/2212.00007,/abs/2311.14709,/abs/2109.04470,/abs/2207.13545,/abs/2302.07393,/abs/1712.04828,/abs/2107.10449,/abs/2306.03288,/abs/2012.13052,/abs/2212.09409,/abs/2112.07522
35,/abs/2212.00008,/abs/2309.07864,/abs/2302.11009,/abs/2002.07641,/abs/2107.12708,/abs/2301.10224,/abs/2210.09925,/abs/2204.07547,/abs/2101.06354,/abs/2308.06259,/abs/2210.05038
36,/abs/2212.00009,/abs/2204.04164,/abs/2301.07624,/abs/1910.00089,/abs/2205.00584,/abs/2306.01694,/abs/2306.08550,/abs/2303.00732,/abs/2206.10009,/abs/2304.07204,/abs/2205.04827
37,/abs/2212.00012,/abs/1808.03809,/abs/2305.02019,/abs/2311.16332,/abs/2308.06529,/abs/2307.12444,/abs/2201.00448,/abs/2212.07392,/abs/1704.07607,/abs/1001.1367,/abs/2202.09149
38,/abs/2212.00013,/abs/2112.15187,/abs/2210.13906,/abs/2111.07171,/abs/2203.09661,/abs/2210.02381,/abs/2106.10516,/abs/2209.04854,/abs/2209.10021,/abs/2005.04539,/abs/2012.14668v1)%3C%22
39,/abs/2212.00015,/abs/2111.08001,/abs/2107.09883,/abs/2202.11824,/abs/1911.11304,/abs/2310.14764,/abs/2310.13898,/abs/2304.12328,/abs/2311.12527,/abs/2111.06593,/abs/2311.10754
40,/abs/2004.00005,/abs/2008.00461,/abs/2005.14532,/abs/2211.00054,/abs/2208.10252,/abs/2205.01060,/abs/2005.01167,/abs/2103.07061,/abs/2107.01670,/abs/2305.00933,/abs/2010.03307
41,/abs/2004.00006,/abs/2106.15280,/abs/2301.06184,/abs/2301.06143,/abs/2104.09886,/abs/2304.13207,/abs/2211.03928,/abs/2207.03056,/abs/2109.06061,/abs/2307.08587,/abs/2112.01349
42,/abs/2004.00010,/abs/2102.06387,/abs/2102.06387,/abs/2305.02816,/abs/2311.02324,/abs/2212.09657,/abs/2006.13039,/abs/2006.07134,/abs/2006.13039,/abs/2110.06412,/abs/2202.08312
43,/abs/2004.00033,/abs/2205.01506,/abs/2307.13776,/abs/2306.07377,/abs/2212.08390,/abs/2203.08111,/abs/2307.03667,/abs/2302.00407,/abs/2204.12820,/abs/2309.11165,/abs/2111.01243
44,/abs/2004.00034,/abs/2012.08849,/abs/2111.04461,/abs/2203.07616,/abs/2305.07965,/abs/2307.11699,/abs/2303.13379,/abs/2203.06935,/abs/1502.02370,/abs/2001.05780,/abs/2105.02636
45,/abs/2004.00046,/abs/2210.08082,/abs/1908.11321,/abs/1902.03333,/abs/2004.04252,/abs/2201.00728,/abs/1703.06816,/abs/arXiv:2003.10734,/abs/1910.11848,/abs/2309.05170,/abs/2110.11206
46,/abs/2004.00048,/abs/2308.14328,/abs/1905.03389,/abs/2111.11647,/abs/1503.07609,/abs/2102.05710,/abs/1711.10907,/abs/2111.12144,/abs/2106.12177,/abs/2304.09599,/abs/1905.08006
47,/abs/2004.00049,/abs/2309.13956,/abs/2309.13956,/abs/2107.06050,/abs/2207.08134,/abs/2211.12123,/abs/2101.05278,/abs/2301.13402,/abs/2108.10201,/abs/2103.10426,/abs/2304.14403
48,/abs/2004.00050,/abs/2101.11978,/abs/2210.05715,/abs/2109.06050,/abs/2003.08385,/abs/2302.02813,/abs/2109.00475,/abs/2010.06432,/abs/2210.15954,/abs/2211.03061,/abs/2302.09852
49,/abs/2004.00053,/abs/2305.03010,/abs/2010.00906,/abs/2212.06264,/abs/2310.06816,/abs/2106.11384,/abs/2210.11049,/abs/2305.13257,/abs/2307.01881,/abs/2203.01451,/abs/2212.06264
50,/abs/2206.00001,/abs/2205.03286,/abs/2006.03847,/abs/2311.16834,/abs/2108.09588,/abs/2205.14120,/abs/2301.01751,/abs/2112.13112,/abs/2209.06528,/abs/2001.06538,/abs/2106.07861
51,/abs/2206.00003,,,,,,,,,,
52,/abs/2206.00005,/abs/2303.03227,/abs/2108.08875,/abs/2201.01820,/abs/2311.13810,/abs/1912.06184,/abs/2104.07106,/abs/1807.03253,/abs/2301.12505,/abs/2209.07577,/abs/2212.04209
53,/abs/2206.00006,/abs/2302.05428,/abs/2309.12723,/abs/2109.03560,/abs/2208.09905,/abs/2107.02168,/abs/2212.12041,/abs/2309.08478,/abs/1803.08823,,
54,/abs/2206.00007,/abs/2302.11466,/abs/2304.08602,/abs/2207.00838,/abs/2208.03392,/abs/2310.05269,/abs/2107.03428,/abs/2303.14483,/abs/2012.12169,/abs/2311.09540,/abs/2110.01167
55,/abs/2206.00024,/abs/2304.07048,/abs/2305.19674,/abs/2210.00928,/abs/1901.05353,/abs/2301.12776,/abs/2207.06917,/abs/2210.08486,/abs/2110.11216,/abs/1508.05170,/abs/2301.12776
56,/abs/2206.00026,/abs/2206.03635,/abs/2311.02408,/abs/1808.06885,/abs/2212.08206,/abs/1909.04352,/abs/2202.03629,/abs/2205.01398,/abs/2109.05199,/abs/2210.09894,/abs/2110.02883
57,/abs/2206.00035,/abs/2305.04672,/abs/2311.10725,/abs/2308.15906.abs,/abs/2308.03296,/abs/2202.01351,/abs/1506.05632,/abs/2205.11740,/abs/2311.12838,/abs/2202.03142,/abs/2006.14662.abs
58,/abs/2206.00047,/abs/2301.07845,/abs/2111.10221,/abs/2205.07649,/abs/2301.07845,/abs/2111.10221,/abs/2103.03097,/abs/2309.13005,/abs/2304.12122,/abs/2106.03171,/abs/2304.00424
59,/abs/2206.00048,/abs/2303.11296,/abs/2309.13167,/abs/2104.13702,/abs/2304.12944,/abs/2202.00046,/abs/2311.01573,/abs/2206.01992,/abs/2111.12221,/abs/2308.09592,/abs/2311.15561
60,/abs/2204.00003,/abs/2309.03640,/abs/2304.04565,/abs/2302.00123,/abs/2311.05237,/abs/2307.03353,/abs/2207.09851,/abs/2303.10559,/abs/2308.12288,/abs/2103.11399,/abs/2305.18555
61,/abs/2204.00004,/abs/2202.10062,/abs/2310.14103,/abs/2302.04054,/abs/2311.09766,/abs/2205.10687,/abs/2305.14889,/abs/2202.13610,/abs/2311.14465,/abs/2306.12916,/abs/2305.01937
62,/abs/2204.00005,/abs/2307.10495,/abs/2311.05501,/abs/2306.10440,/abs/2211.00119,/abs/2308.00142,/abs/2104.07784,/abs/2208.05834,/abs/2110.04250,/abs/2309.15627,/abs/2111.10989
63,/abs/2204.00006,/abs/2302.12717,/abs/2205.12549,/abs/2202.02850,/abs/2305.02456,/abs/2003.10409,/abs/2112.10852,/abs/1608.08337,/abs/2202.13361,/abs/2305.07612,/abs/2206.12680
64,/abs/2204.00008,/abs/2304.13410,/abs/2310.10427,/abs/2311.01323,/abs/2311.12051,/abs/2306.15931,/abs/2306.08565,/abs/2303.15109,/abs/2305.01361,/abs/2311.17087,/abs/2210.16117
65,/abs/2204.00011,/abs/2012.09995.abs,/abs/2307.03652,/abs/2307.12485,/abs/2206.04947,/abs/2310.08687,/abs/2304.11643,/abs/2311.07816,/abs/2212.12964,/abs/2308.02573,/abs/2301.01221
66,/abs/2204.00032,/abs/2207.10802,/abs/2310.11739,/abs/2309.05610,/abs/2208.12348,/abs/2111.09679,/abs/2303.12589,/abs/2306.17194,/abs/2310.03838,/abs/2308.01469,/abs/2310.08320
67,/abs/2204.00034,/abs/2306.12206,/abs/2210.16070,/abs/2105.02927,/abs/1909.11261,/abs/2311.10440,/abs/2311.13771,/abs/2209.03865,/abs/2201.11780,/abs/1910.10434,/abs/2311.10440
68,/abs/2204.00035,/abs/1906.04161,/abs/2307.15724,/abs/2009.12494,/abs/2311.00924,/abs/2210.12806,/abs/2106.14440,/abs/2007.03669,/abs/2105.07426,/abs/2311.11287,/abs/2305.17250
69,/abs/2204.00049,/abs/2112.15156,/abs/2212.07946,/abs/0705.1730,,,,,,,
70,/abs/1902.00006,/abs/1802.00682,/abs/2112.03184,/abs/1802.00682,/abs/1711.07414,/abs/2104.13299,/abs/2210.10849,/abs/2211.14797,/abs/1806.00069,/abs/2304.06715,/abs/2201.08164
71,/abs/1902.00009,/abs/1707.07140,/abs/1411.2410,/abs/2006.14210,/abs/2007.14614,/abs/2103.13614,/abs/2201.06590,/abs/2210.11910,/abs/1805.07353,/abs/1412.2458,/abs/1902.11186
72,/abs/1902.00014,/abs/1604.04164,/abs/1604.04164,/abs/1611.02453,/abs/1401.5853,/abs/1809.00134,/abs/2007.01610,/abs/1911.07229,/abs/2106.15513,/abs/2305.01248,/abs/1401.5850
73,/abs/1902.00016,/abs/1805.07802,/abs/2203.13203,/abs/2305.03899,/abs/2211.09121,/abs/1705.03341,/abs/1702.06463,/abs/2310.10307,/abs/2102.04906,/abs/2106.12096,/abs/2002.07684
74,/abs/1902.00020,/abs/1810.03772,/abs/2305.02735,/abs/1806.07069,/abs/2008.13260,/abs/0911.1826,/abs/1901.09228,/abs/2007.05923,/abs/0811.2475,/abs/1303.7163,/abs/1907.13036
75,/abs/1902.00023,/abs/2110.05256,/abs/2212.03644,/abs/2110.05256,/abs/1911.13151,/abs/2311.05566,/abs/2311.05428,/abs/2207.03871,,,
76,/abs/1902.00031,/abs/2210.03768,/abs/2305.11061,/abs/2208.04415,/abs/2203.07376,/abs/2210.16613,/abs/2306.11477,/abs/2103.00740,/abs/1909.01822,/abs/2201.01209,/abs/2305.13683
77,/abs/1902.00033,/abs/2209.06950,/abs/2311.08746,/abs/1402.1072,/abs/2305.15798,/abs/2305.15798,/abs/2305.10924,/abs/2306.03284,/abs/2304.08818,/abs/2306.00637,/abs/2306.04321
78,/abs/1902.00038,/abs/2205.04402,/abs/2206.12533,/abs/2201.10654,/abs/2203.09138,/abs/2307.05182,/abs/2304.09974,/abs/2205.04404,/abs/2201.10656,/abs/2206.09111,/abs/2109.11848
79,/abs/1902.00040,/abs/2207.02100,/abs/2305.07392,/abs/2104.02643,/abs/2306.14551,/abs/2309.14104,/abs/2207.09394,/abs/2002.10433,/abs/2008.07207,/abs/2004.01697,
80,/abs/2006.00025,,,,,,,,,,
81,/abs/2006.00028,/abs/2110.10924,/abs/2210.06575,/abs/2307.12400,/abs/2311.12398,/abs/2006.05123,/abs/2202.00182,/abs/2208.10002,/abs/2310.05717,/abs/2304.00157,/abs/2307.16254
82,/abs/2006.00030,/abs/2104.12536,/abs/2305.09296,/abs/2002.03792,/abs/2104.12536,/abs/2008.12507,/abs/2311.08720,/abs/1912.05322,/abs/2012.04467,/abs/2106.07988,/abs/1811.10308
83,/abs/2006.00031,/abs/2206.11815,/abs/2305.08146,/abs/2206.11815,/abs/2305.06984,/abs/2311.00310,/abs/2107.05132,/abs/2305.09975,/abs/2303.04851,/abs/2106.04102,/abs/2305.16349
84,/abs/2006.00037,/abs/2212.03068,/abs/2311.08206,/abs/2309.06395,/abs/1603.02729,/abs/2105.08169,/abs/1906.03022,/abs/2106.11650,/abs/2108.07206,/abs/2301.05832,/abs/2306.13302
85,/abs/2006.00038,/abs/2304.03601,/abs/2308.00685,/abs/2311.04872,/abs/2311.11258,/abs/1909.09153,/abs/2305.02729,/abs/2305.15976,/abs/2205.07920,/abs/2202.06533,/abs/2303.15604
86,/abs/2006.00040,/abs/2006.04583,/abs/1502.04803,/abs/1708.09686,/abs/2004.12166,/abs/1210.7269,/abs/1406.3700,/abs/2302.08886,/abs/1806.02590,/abs/2303.06483,
87,/abs/2006.00044,/abs/1906.10416,/abs/2011.12546,/abs/2111.11714,/abs/1601.04301,/abs/2310.01676,/abs/2203.01464,/abs/2005.02456,/abs/2309.02707,/abs/2012.10011,/abs/2207.01590
88,/abs/2006.00046,/abs/2103.01766,/abs/2103.10113,/abs/2012.06466,/abs/2108.02008,/abs/2101.03241,/abs/2201.10641,/abs/2201.10401,/abs/2112.01244,/abs/2005.10187,/abs/2011.08069
89,/abs/2006.00048,/abs/2212.07218,/abs/2305.05551,/abs/2307.13635,/abs/2303.12082,/abs/1606.03511,/abs/2307.11895,/abs/2208.04706,/abs/2104.14761,/abs/1606.03534,/abs/2203.13130
90,/abs/2211.00002,/abs/2302.06436,/abs/2209.05483,/abs/2302.06436,/abs/2311.15369,/abs/2308.08463,/abs/2209.14540,/abs/2308.02100,/abs/2010.13232,/abs/2210.12731,/abs/2307.05270
91,/abs/2211.00005,/abs/2202.06593,/abs/2104.04610,/abs/1509.01343,/abs/2310.10059,/abs/2110.05216,/abs/2207.04308,/abs/1611.09194,/abs/2302.02515,/abs/2306.10125,/abs/2206.07200
92,/abs/2211.00006,/abs/2308.04396,/abs/1606.07283,/abs/2303.13531,/abs/1603.09012,/abs/2105.13155,/abs/1911.06407,/abs/1201.1668,/abs/2204.04898,/abs/2103.16956,/abs/2309.17100
93,/abs/2211.00007,/abs/2303.05665,/abs/1907.09059,/abs/2205.10330,/abs/2209.09881,/abs/2102.07166,/abs/2306.05120,/abs/2310.05170,/abs/2107.00783,/abs/2207.09106,/abs/2210.03642
94,/abs/2211.00046,/abs/2208.12081,/abs/2304.09957,/abs/2303.15265,/abs/2205.03983,,,,,,
95,/abs/2211.00053,/abs/2212.10560,/abs/2303.02297,/abs/2310.01798,/abs/2305.14992,/abs/2305.13829,/abs/2308.03188,/abs/2303.04562,/abs/2311.09868,/abs/2310.13522,/abs/2310.01991
96,/abs/2211.00056,/abs/2207.12138,/abs/2302.01317,/abs/2202.06698,/abs/2303.14217,/abs/2304.08750,/abs/2207.04672,/abs/2102.02622,/abs/2203.15026,/abs/2303.06794,
97,/abs/2211.00057,/abs/1707.03599,/abs/1206.3933,/abs/2304.02020,/abs/2212.06574,/abs/1503.00673,/abs/2110.01871,/abs/1806.06351,/abs/2211.01348,/abs/2306.13186,/abs/1309.7949
98,/abs/2211.00058,/abs/2306.04335,/abs/2304.00353,/abs/1412.2494,/abs/2303.13379,/abs/1012.4752,/abs/2304.04780,/abs/2311.10777,/abs/1104.4966,/abs/2103.16654,/abs/2311.14734
99,/abs/2211.00061,/abs/2104.12492,/abs/2206.12551,/abs/2101.12432,/abs/1702.07733,/abs/2304.13849,/abs/2303.04117,/abs/2308.07924,/abs/2307.05258,/abs/2209.12895,/abs/2102.00945
100,/abs/2210.00001,/abs/2109.10003,/abs/2103.15493,/abs/2307.10106,/abs/2109.02951,/abs/2202.12376,/abs/2301.05595,/abs/1609.00119,,,
101,/abs/2210.00002,/abs/2310.11435,/abs/2210.16358,/abs/2201.06301,/abs/2306.16996,/abs/2301.11848,/abs/2311.17078,/abs/2202.12378,/abs/2102.03767,/abs/2109.09095,/abs/2306.01065
102,/abs/2210.00003,/abs/2012.01359,/abs/2212.02643,/abs/2011.04095,/abs/2310.04748,/abs/2111.05294,/abs/2303.08710,/abs/2311.13812,/abs/1904.06733,/abs/1911.00322,/abs/2203.14942
103,/abs/2210.00008,/abs/2112.01724,/abs/2307.05095,/abs/2208.07049,/abs/1909.06865,/abs/2102.04351,/abs/2308.01840,/abs/2204.10192,/abs/2305.10862,/abs/2207.00421,/abs/2306.05494
104,/abs/2210.00022,/abs/2201.07325,/abs/2204.01892,/abs/2205.03356,/abs/2111.10743,/abs/2211.14537,/abs/2209.03844,/abs/1902.01205,/abs/2311.13909,/abs/1208.5173,/abs/2310.00188
105,/abs/2210.00025,/abs/2210.00340,/abs/2302.03319,/abs/2306.09048,,,,,,,
106,/abs/2210.00026,,,,,,,,,,
107,/abs/2210.00030,,,,,,,,,,
108,/abs/2210.00032,,,,,,,,,,
109,/abs/2210.00034,,,,,,,,,,
110,/abs/2007.00003,/abs/2305.04765,/abs/2305.06902,/abs/2210.13530,/abs/2112.14093,/abs/2203.13726,/abs/2201.00448,/abs/2208.10360,/abs/2209.00038,/abs/2305.02710,/abs/math/0307278
111,/abs/2007.00024,/abs/2103.04909,/abs/2304.00022,/abs/2203.01909,/abs/2208.01862,/abs/2008.05984,/abs/1810.12778,/abs/2011.13332,/abs/2305.14644,/abs/2201.03916,/abs/2012.13681
112,/abs/2007.00028,/abs/2209.07116,/abs/2202.13441,/abs/2303.01135,/abs/2305.13471,/abs/2302.09235,/abs/2303.10758,/abs/2209.04188,/abs/2208.12591,/abs/2202.06915,/abs/2303.01462
113,/abs/2007.00033,/abs/1901.00240,/abs/1801.08737,/abs/1801.08323,/abs/2311.05514,/abs/2104.01667,/abs/2212.07996,/abs/2203.15178,/abs/1711.09123,,
114,/abs/2007.00045,/abs/1809.06186,/abs/2211.11278,/abs/2210.12870,/abs/2101.00214,/abs/2103.16624,/abs/1507.06021,/abs/2205.15111,/abs/2301.05296,/abs/2310.03927,/abs/1803.04765
115,/abs/2007.00046,/abs/1901.08688,/abs/1901.08688,/abs/1801.05365,/abs/1612.08712,/abs/1909.13354,/abs/2007.01193,/abs/2112.05640,/abs/1901.09290,/abs/1802.06360v1,/abs/1608.08614
116,/abs/2007.00047,/abs/2108.13865,/abs/2307.09220,/abs/2307.09220,/abs/2212.07629,/abs/2103.05423,/abs/2207.01223,/abs/2307.05826,/abs/2304.09854,/abs/1912.10230,/abs/2001.05566
117,/abs/2007.00049,/abs/2104.02797,/abs/2306.04597,/abs/2307.01595,/abs/2011.12465,/abs/2310.11991,/abs/2109.14039,/abs/2311.17259,/abs/2306.03819,/abs/2210.14975,/abs/2309.00770
118,/abs/2007.00051,/abs/2311.17049,/abs/2303.08983,/abs/2110.07040,/abs/2106.11119,/abs/2210.09648,/abs/2210.10305,/abs/2208.08232,/abs/2212.10465,/abs/2305.13657,/abs/2305.00077
119,/abs/2007.00054,/abs/2110.02198,/abs/2203.06079,/abs/2108.06385,/abs/2109.12219,/abs/2104.09091,/abs/2303.13558,/abs/2009.10461,/abs/2104.12556,/abs/2106.01315,/abs/2008.08150
120,/abs/1903.00001,/abs/2008.02957,/abs/1903.04711,/abs/2008.02957,/abs/2306.10676,/abs/2109.08330,/abs/1907.00300,/abs/1803.00663,/abs/2204.05798,/abs/2302.11106,/abs/1911.09846
121,/abs/1903.00027,/abs/2003.14210,/abs/2003.14210,/abs/1912.03905,/abs/2210.07105,/abs/2209.02562,/abs/1912.12482,/abs/2306.05445,/abs/2112.03235,/abs/2103.03104,/abs/1910.10897
122,/abs/1903.00029,/abs/2307.12916,/abs/2307.12916,/abs/2308.03516,/abs/2209.02589,/abs/1503.00941,/abs/2106.03545,/abs/2209.02589,/abs/2201.06678,/abs/2301.07537,/abs/1907.04505
123,/abs/1903.00035,/abs/2204.08458,/abs/2206.01309,/abs/2307.04771,/abs/1810.12690,,,,,,
124,/abs/1903.00036,/abs/1806.08574,/abs/1910.06149,/abs/2203.04021,/abs/2203.04021,/abs/2307.13209,/abs/2107.03746,/abs/2109.02109,/abs/2106.10331,/abs/1910.00910,/abs/2201.01361
125,/abs/1903.00040,,,,,,,,,,
126,/abs/1903.00041,/abs/2004.05757,/abs/2203.13867,/abs/2211.11297,/abs/2103.11088,/abs/2210.12499,/abs/2206.14579,/abs/2203.09486,/abs/2104.06951,/abs/2101.10382,/abs/1907.05190
127,/abs/1903.00045,/abs/2108.06322,/abs/2301.11913,/abs/2305.12213,/abs/2012.12544,/abs/2004.03072,/abs/1908.10920,/abs/2106.14089,/abs/2104.08364,/abs/1903.11314,/abs/2304.08320
128,/abs/1903.00048,/abs/2103.06035,/abs/2103.06035,/abs/2310.18150,/abs/2205.08208,/abs/2109.01417,/abs/2212.01958,/abs/2309.08070,/abs/2311.13994,/abs/2311.13371,/abs/2208.02415
129,/abs/1903.00058,/abs/2109.06604,/abs/2109.11136,/abs/2204.06175,/abs/2301.05380,/abs/2205.12230,/abs/2109.06604,/abs/2301.12866,/abs/2204.12608,/abs/2305.16599,/abs/2205.11211
130,/abs/2205.00001,/abs/2303.17075,/abs/2107.13704,/abs/2209.03430,,,,,,,
131,/abs/2205.00002,/abs/2307.11114,/abs/2001.01109,/abs/2308.12411,/abs/2001.01109,/abs/2103.15100,/abs/2306.11232,/abs/2212.01354,/abs/1303.2071,/abs/1703.02245,/abs/1812.00136
132,/abs/2205.00029,/abs/2305.12647,/abs/2305.10528,/abs/2309.07864,/abs/2309.11065,/abs/2309.08583,/abs/2201.01289,/abs/2309.14365,/abs/2010.12251,/abs/2304.12479,/abs/2309.16639
133,/abs/2205.00030,/abs/2207.07748,/abs/1405.0370,/abs/2207.10836,/abs/2108.02990,/abs/2207.10836,/abs/2304.03561,/abs/2208.00086,/abs/2202.06247,,
134,/abs/2205.00033,,,,,,,,,,
135,/abs/2205.00034,,,,,,,,,,
136,/abs/2205.00042,,,,,,,,,,
137,/abs/2205.00047,,,,,,,,,,
138,/abs/2205.00048,,,,,,,,,,
